sidecar_rel,scenario_id,any_violation,attempts_total,attempts_violated,first_violating_attempt,first_violation_reason
aggregation/active-per-owner.yaml,active-per-owner,False,5,0,,
aggregation/count-by-owner.yaml,count-by-owner,False,5,0,,
aggregation/count-by-urgency.yaml,count-by-urgency,False,5,0,,
aggregation/totals-across-entities.yaml,totals-across-entities,False,5,0,,
commitments/crud-add.yaml,crud-add,False,5,0,,
commitments/crud-from-promise.yaml,crud-from-promise,False,5,0,,
commitments/crud-resolve.yaml,crud-resolve,False,5,0,,
commitments/crud-update-status.yaml,crud-update-status,False,5,0,,
commitments/query-blocked.yaml,query-blocked,False,5,0,,
commitments/query-by-owner.yaml,query-by-owner,False,5,0,,
commitments/query-count-open.yaml,query-count-open,False,5,0,,
commitments/query-critical.yaml,query-critical,False,5,0,,
commitments/query-high-engineering.yaml,query-high-engineering,False,5,0,,
commitments/query-list-open.yaml,query-list-open,False,5,0,,
commitments/query-overdue.yaml,query-overdue,False,5,0,,
commitments/query-status-breakdown.yaml,query-status-breakdown,False,5,0,,
cross-entity/commitments-auth-decisions.yaml,commitments-auth-decisions,False,5,0,,
cross-entity/full-status-report.yaml,full-status-report,False,5,0,,
cross-entity/heaviest-workload.yaml,heaviest-workload,False,5,0,,
cross-entity/parked-vs-active.yaml,parked-vs-active,False,5,0,,
cross-entity/signals-to-auth.yaml,signals-to-auth,False,5,0,,
decisions/crud-record.yaml,crud-record,False,5,0,,
decisions/query-auth.yaml,query-auth,False,5,0,,
decisions/query-reversible.yaml,query-reversible,False,5,0,,
grocery/grocery-add-item.yaml,grocery-add-item,False,5,0,,
grocery/grocery-count-total.yaml,grocery-count-total,False,5,0,,
grocery/grocery-filter-done.yaml,grocery-filter-done,False,5,0,,
grocery/grocery-filter-priority.yaml,grocery-filter-priority,False,5,0,,
grocery/grocery-filter-store.yaml,grocery-filter-store,False,5,0,,
grocery/grocery-list-all.yaml,grocery-list-all,False,5,0,,
nanny/nanny-cost-estimate.yaml,nanny-cost-estimate,True,5,1,,
nanny/nanny-log-shift.yaml,nanny-log-shift,False,5,0,,
nanny/nanny-total-march.yaml,nanny-total-march,False,5,0,,
nanny/nanny-week-highest.yaml,nanny-week-highest,False,5,0,,
parked-ideas/crud-park-new.yaml,crud-park-new,False,5,0,,
parked-ideas/query-list.yaml,query-list,True,5,1,,
signals/crud-log-new.yaml,crud-log-new,False,5,0,,
signals/query-count.yaml,query-count,False,5,0,,
signals/query-high-confidence.yaml,query-high-confidence,False,5,0,,
signals/query-slack.yaml,query-slack,False,5,0,,
todos/todo-completed.yaml,todo-completed,False,5,0,,
todos/todo-due-this-week.yaml,todo-due-this-week,False,5,0,,
todos/todo-list-pending.yaml,todo-list-pending,False,5,0,,
todos/todo-mark-done.yaml,todo-mark-done,False,5,0,,
todos/todo-overdue.yaml,todo-overdue,False,5,0,,
transactions/txn-add-bill.yaml,txn-add-bill,False,5,0,,
transactions/txn-biggest-category.yaml,txn-biggest-category,True,5,3,,
transactions/txn-childcare-total.yaml,txn-childcare-total,True,5,4,,
transactions/txn-dining-total.yaml,txn-dining-total,True,5,4,,
transactions/txn-grocery-total.yaml,txn-grocery-total,True,5,4,,
transactions/txn-low-confidence.yaml,txn-low-confidence,True,5,4,,
transactions/txn-subscriptions.yaml,txn-subscriptions,False,5,0,,
